,title,body
426,Korean exporters warned to monitor Indian trade restrictions,"

                  Korean companies need to keep close tabs on India's anti-dumping rules and other trade remedies to protect its domestic industries, a report said Tuesday.           India, Asia's third largest economy, has been beefing up efforts to shield its domestic industries from foreign competitors by sharply raising import regulation probes in recent years.           ""India's import regulations have recently been very tough and aggressive,"" the report from the Korea International Trade Association (KITA) said. ""Korean exporters should pay closer attention to them.""           In February, New Delhi amended its enforcement decrees on anti-dumping and countervailing duties, and subsidies in a show of its growing protectionist tendencies.           ""In particular, Korean steel and petrochemical manufacturers should pre-emptively brace for the potential risk of import controls as they are prone to India's anti-dumping and countervailing tariffs,"" the report said.           According to the report, India's new investigations for import restrictions came to an average 60.5 cases per year between 2016 and 2019, nearly double the 30.3 cases recorded from 2010-15.           China was the No. 1 target of India's probes with 77 cases since 2016, followed by Korea with 24, Thailand with 22 and Malaysia with 21.           Korean companies have been ramping up efforts to make forays into the world's second-most populous country, which has been emerging as one of the most promising markets in the world.           In the first half of this year, Korea's exports to India sank 33.2 percent on year to $5.36 billion amid the coronavirus pandemic, with imports from India falling only 5.3 percent to $2.59 billion. Seoul is seeking to hike bilateral trade with India to $50 billion a year by 2030. Last year, bilateral trade reached $20.7 billion.           Yonhap   "
427,Finance sector sees healthy rise in assets in first half,"

     Financial Supervisory Service building in Yeouido, western Seoul. [YONHAP]               Assets of financial holding companies increased 7.4 percent in the first half compared to six months earlier as demand for loans rose, Financial Supervisory Service (FSS) data showed Tuesday.             Total assets of the 10 financial holding companies increased 194 trillion won ($164 billion) to reach 2,823 trillion won. The 10 companies are KB, Shinhan, Nonghyup, Woori, Hana, BNK, DGB, JB, Korea Investment and Meritz Holdings.           By categories, assets owned by investment firms grew the fastest — increasing 18.9 percent or 48.3 trillion won. This was due to an increase in the value of equities they hold and increases in deposits by retail investors for stock trading.           Assets of commercial banks increased by 6.5 percent or 128.6 trillion won from a surge in loans.            At credit card companies, assets grew by 7.1 percent or 10.3 trillion won from January to June. For insurance companies, assets increased by 3.7 percent or 8.2 trillion won over the same period.            Net profits of the 10 holding companies dropped 11 percent or 943 billion won to reach 7.63 trillion won in June. Investment firms saw the largest drop of 29.1 percent or 518.8 billion won, as fund investments and trading suffered losses in the first half.             Net profits at commercial banks dropped 14 percent or 895.1 billion won as banks accumulated more reserves to prepare for coronavirus uncertainties and possible bad loans.            Insurance companies and credit card companies, on the other hand, saw net profits increase by the double digits. The net profit at insurance companies increased 158.2 billion won or 26.9 percent. At credit card companies, net profits rose by 254.2 billion won or 25 percent over the six-month period.             Asset quality also improved. The substandard-or-below loans ratio dropped by 0.03 percentage points compared to the end of last year and reached 0.55 percent in June. This means that the ratio of loans expected to result in a loss of interest for the lender has decreased over the past six months.            The coverage ratio, which indicates a company’s ability to handle its outstanding debt, increased by 5.33 percentage points to 128.62 percent.             The FSS said it will supervise financial holding companies to prepare for economic uncertainties that can rise from the pandemic.             “We will guide them to strengthen their ability to absorb losses by saving more reserves, expand their capital and liquidity and prepare for another surge in Covid-19 cases,” said Kim Taek-ju, a spokesperson for the FSS.             BY KANG JAE-EUN   [kang.jaeeun@joongang.co.kr]                "
428,ICT exports up 0.3 percent on year in August,"

                  Korea's outbound shipments of ICT products edged up 0.3 percent on year in August, data showed Tuesday, as exports of memory chips, computers and peripherals remained robust amid the coronavirus pandemic.           Exports of ICT products reached $15.24 billion last month, according to the data compiled by the Ministry of Science and ICT. This marks the third month in a row that monthly exports have moved up compared with 2019.           Imports moved up 4.3 percent to $9.19 billion in August, resulting in a trade surplus of $6.05 billion in ICT trade, data showed.           ICT products, a key contributor to Korean exports, have been hit by Covid-19. They plunged 15.3 percent on-year in April and contracted 2.6 percent in the following month before making a rebound in June with 1 percent growth, followed by an increase of 3.3 percent in July.           By segment, exports of semiconductors, a critical item for Asia's fourth-largest economy, gained 2.6 percent from the previous year to reach $8.29 billion.           Outbound shipments of computers and related products nearly doubled over the period to reach $1.34 billion, as more people worked from home due to the virus outbreak.           Overseas sales of mobile devices, such as smartphones, on the other hand, plunged 33 percent to $700 million, with exports of displays falling 17 percent to $1.8 billion over the cited period.           Exports to China, the largest overseas market for locally made ICT products, backtracked 3.3 percent to $7.1 billion, with shipments to Vietnam down 2 percent to $2.76 billion.           Shipments to the United States, however, shot up 18 percent to $1.75 billion over the period.           Korea's overall exports have been losing ground since early this year, as the Covid-19 pandemic has hurt both consumption and production. In August, the country's exports stood at $39.66 billion, down 9.9 percent from a year earlier and marking the sixth consecutive month that outbound shipments have lost ground.           Yonhap   "
429,"SK Telecom, Kogas to detect gas leaks with quantum technology","

     Representatives from SK Telecom, Korea Gas Corp., Quantum Sensing and Korea Plant Maintenance pose with their agreement on Tuesday. [SK TELECOM]               SK Telecom has developed a quantum sensing technique to detect gas leaks in a move that widens the application of quantum-based technology.           In an agreement signed Tuesday, the telecommunications company will partner with Korea Gas Corp. (Kogas), Quantum Sensing and Korea Plant Maintenance to supply the state-run gas company with a quantum sensing-based gas safety system.           Quantum sensing refers to a technology that uses the analysis of atoms and photons, the tiniest particle of light possible, to ensure measurements with the highest possible sensitivity.           Quantum Gas Imaging is designed to “detect gas leaks and measure gas concentration by illuminating the target with lasers and analyzing reflected wavelengths, notifying the control center of possible risks in real time,” according to the company.           Compared to the widely-used infrared system, it promises to detect leaks from significantly further away — from a range of 150 meters (492 feet) — and identify leaks with a lower concentration of gas.           SK Telecom and Kogas plan to test-operate the advanced detection system this year at a large-sized gas facility.           The system is the latest in a series of attempts by SK Telecom to use quantum-based technology.             It developed a quantum random number generator (QRNG) chip to be used in security systems and then released a smartphone fitted with the chip in May in cooperation with Samsung Electronics.             The company plans to continue to expand its range of quantum projects.           “With Quantum gas imaging, we move one step closer to a safer society realized through technology,” said Park Jin-hyo, head of the security business at SK Telecom. “We will continue to develop diverse innovative services that can enhance people’s safety using quantum sensing technology.”            BY PARK EUN-JEE   [park.eunjee@joongang.co.kr]   "
430,Korean firms see sales decline a record amount in Q2,"

                  Korean companies' sales declined at the sharpest clip on record in the second quarter as their business activity was hit by the new coronavirus outbreak, central bank data showed Tuesday.           Sales of local businesses dropped 10.1 percent in the April-June period from a year earlier, accelerating from a 1.9 percent on-year fall in the first quarter, according to the data by the Bank of Korea (BOK).           The reading marked the sharpest on-year fall since the first quarter of 2015 when the BOK began compiling related data.           It also marked the sixth consecutive quarter of on-year decline in corporate sales.           The quarterly report is based on a review of 1,851 listed companies that are subject to external audits.           ""Local firms' sales and profitability worsened last quarter as manufacturers suffered business setbacks amid low oil prices and tepid demand for autos,"" a BOK official said.           Manufacturers saw their sales shrink 12.7 percent on year in the second quarter, faster than a 1.9 percent on-year fall in the first quarter and the sharpest on-year decline on record.           The Korean economy contracted 3.2 percent in the second quarter from three months earlier as exports and private consumption faltered on the fallout of the Covid-19 pandemic.           Overseas shipments, which account for 50 percent of Asia's fourth largest economy, shrank a whopping 16.1 percent on quarter in the quarter ending June 30.           With a drop in sales, the gauges of corporate profitability worsened as well.           The average ratio of operating profit to sales came to 5.3 percent last quarter, lower than 5.5 percent in the same period of last year, the BOK said.           Local firms' total assets grew at an average 1.1 percent in the second quarter on the back of large firms' debt sales. The tally compared with a 0.2 percent on-year increase the previous year.           The average debt-to-equity ratio, a gauge of financial health, reached 87 percent as of end-June, down from 88.2 percent three months ago as companies paid out dividends in April.           Yonhap   "
431,Internet cafes say they are doomed if they can't serve food,"

                           Most of the seats remain empty at an internet cafe, in Seongdong District in eastern Seoul on Monday. While the government has allowed for the opening of internet cafes, restrictions remain.   Yoon Jae-jung, 54, who runs an internet cafe in Eunpyeong District, northern Seoul, is not entirely happy with the government’s lifting of the so-called Level 2.5 social distancing guidelines for the greater Seoul area.         With the eased measures, internet cafes are allowed to reopen starting on Monday. But the government has issued a few new rules: Minors are not allowed in the cafes, eating is prohibited and customers must not be seated too close to each other.       “Why is eating at internet cafes risky when eating at restaurants is considered to be safe? At internet cafes, customers eat while watching their monitors, not talking to others."" Yoon said. ""I don’t understand what makes the government think eating food at an internet cafe is dangerous.""     “I’m pleased that the government finally allowed us to reopen the business. But if the government doesn’t allow us to sell food in [internet] cafes, it’s no different than ordering us to close down.”     The average price for an hour at an internet cafe is 1,000 won ($0.85), though they cost a little more in urban areas and a little less in the countryside. According to internet cafe owners, of the 1,000 won, 15 percent, or 150 won, goes to game companies as royalties. In other words, if a visitor to an internet cafe doesn’t eat anything and only plays a game for an hour, the owner can earn just 850 won.     As a result, 4,000 won or 5,000 won of ramyeon or fried rice, as well as some cookies and chips that the owners sell in the cafe are their major source of income.     A woman in her 50s who runs an internet cafe in Seongdong District, eastern Seoul, says she is frustrated about the government’s “unreasonable” restrictions.       “Restaurants and cafes are the places where people talk to each other while eating and drinking. Allowing them but restricting us? This doesn't make any sense,” the woman said. “If I reopen the cafe, I need to pay so many fees, such as the electric bill, gas bill and water bill. I'd rather close it until the government lifts the regulations.”     She says many internet cafe owners in Seongdong District have already gone out of business. She might be forced to do the same.            Internet cafe owners hold a press conference in front of the National Assembly in Yeouido, western Seoul, on Monday. [YONHAP]  The Korea Internet PC Culture Association, the Cooperative of Internet Contents Provider in Korea and the internet cafe owners across the country on Monday held a press conference in front of the National Assembly in Yeouido, western Seoul, urging the government to lift restrictions on eating in internet cafes.       They said they welcome the government’s decision of excluding internet cafes from the list of high-risk business. But they argue restricting the sale of food is the same as ""telling them to close down their business.”     During the press conference, they criticized the government’s fourth supplementary budget, which focuses on supporting small businesses. The government last week announced a 7.8-trillion-won supplementary budget, with 2-million-won grants going to 2.91 million small businesses.     “We don’t understand how the government came up with the amount of 2 million won of cash grants,” Kim Byung-soo, chairman of the Korea Internet PC Culture Association, said. “Internet cafe owners, who have been faithfully following the guidelines more than anyone else, now feel devastated and have been driven into the corner.”     BY CHOI SUN-WOOK, CHEA SARAH   [chea.sarah@joongang.co.kr]  "
432,ADB 2020 forecast for the Korean economy unchanged,"

     Finance Minister Hong Nam-ki holding a video conference with Asian Development Bank President Masatsugu Asakawa on Monday in Seoul. [YONHAP]               The Asian Development Bank (ADB) forecast the Korean economy to contract 1.0 percent in 2020, and that's good news considering that the estimate is unchanged from June.           Korea is one of the few Asian economies for which the outlook from the ADB is the same in its Asia Development Outlook 2020 Update, which was released Tuesday, as it was in the earlier report.             Domestic think tanks and institutions are more negative than the Manila-based multilateral.           State-financed Korea Development Institute (KDI) is looking for a 1.1 percent decline, down from an earlier projection of minus 0.2 percent. The Bank of Korea earlier changed its outlook from a 0.2 percent drop to 1.3 percent decline.           ADB noted the fall in trade due to the pandemic.             ""World trade declined sharply in the first half of 2020 in tandem with the collapse in global economic activity and the introduction of extension restrictions on travel and transport,” it noted. “Global trade was down by close to 20 percent year-on-year in April and May. The collapse was even bigger for trade in the major advanced economies as their aggregate exports fell by 27 percent year-on-year in April.”             While the ADB kept this year’s outlook for Korea unchanged, it did lower its forecast on next year.             The bank expects 3.3 percent growth for Korea in 2021. That’s a 0.2 percentage-point drop from June’s projection of 3.5 percent.           Korean lawmakers are currently reviewing the fourth supplementary budget, and the ADB noted that it would provide stimulus.           Noting the third supplementary budget at $29 million approved in July, a month after its last forecast, the ADB said the stimulus totaling $230 million would contribute boosting the domestic market.             ADB said uncertainty from Covid-19 remains the biggest risk factor for the Korean economy.             It report noted that ""a prolonged pandemic — either an extended first wave in some economies or recurrent waves in others — is the main risk to the outlook, as it would require protracted caution and containment measures, with consequent disruption to both supply and demand.”             It said the ""protracted weakness"" could trigger debt or a financial vulnerability crisis, while tension between the two major economic powers — the United States and China — is another factor that could negative impact growth.             U.S. sanctions against the Chinese tech company Huawei have been in place since Tuesday.             The ADB projected the economies of 45 Asian member states would contract 0.7 percent this year, a drop from negative 0.1 percent growth projected in June.             China's growth projection is unchanged at 1.8 percent, while Taiwan’s was also unchanged at a 0.8 percent increase.             For next year, the Asian economies are expected to grow 6.8 percent, faster than ADB's last projection of 6.2 percent.             On Monday Korean Finance Minister Hong Nam-ki held a video conference with ADB President Masatsugu Asakawa about Covid-19 cooperation as well as the possibility of opening an ADB office in Korea.           BY LEE HO-JEONG   [lee.hojeong@joongang.co.kr]   "
433,Samsung introduces new range of minuscule image sensors,"

                   Samsung Electronics on Tuesday unveiled a higher-resolution version of its 0.7-micrometer-pixel image sensors in a bid to win over smartphone manufacturers on the lookout for high-performing yet compact camera sensors.             The highest resolution class comes in at 108 megapixels, followed by 64-, 48- and 31-megapixel offerings.           All of them, branded Isocell, are 0.7-micrometer chips, the smallest currently manufactured and equal to 0.0007 millimeters, far smaller than a single human hair.           Samsung expects the minuscule size to appeal to smartphone makers since smaller image sensors are easier to fit into the latest design trends.           “Samsung’s newest image sensors are up to 15 percent smaller than the 0.8-micrometer-pixel sensors of the same resolution and reduce the height of the camera module by up to 10 percent,” it said in a statement.             Its first 0.7-micrometer-pixel sensor, which was the industry’s first, debuted last year with 43.7 megapixels of resolution.             Alongside the size, the new lineup includes Samsung’s latest image sensing technologies designed to collect the maximum amount of light for better image quality.           “Samsung continues to pioneer innovations, such as Isocell Plus and Smart ISO, to deliver more pixels in a smaller package,” said Park Yong-in, executive vice president of the sensor business at Samsung Electronics.             “Last year, Samsung introduced the industry’s first 0.7-micrometer-pixel image sensor and the first 108-megapixel sensors. Now we are bringing more of the advanced pixel technologies to mobile cameras in a variety of options that will enable high-resolution images and sleeker designs in a wider selection of tomorrow’s mobile devices.”           Samsung is the world’s second largest supplier of mobile image sensors after Sony.             Its products are used by Chinese smartphone manufacturers Xiaomi, Vivo, Oppo, and Realme, while Sony supplies its sensors to Apple, OnePlus, Xiaomi and Oppo.             BY PARK EUN-JEE   [park.eunjee@joongang.co.kr]   "
434,12th DMZ International Documentary Film Festival to be held online and offline,"

     The opening ceremony of the 11th DMZ International Documentary Film Festival. [YONHAP]               The 12th DMZ International Documentary Film Festival is to be held from Sept. 17 to 24 both online and offline at the Megabox Baekseok branch in Gyeonggi.             “A Long Way to School” by director Kim Jung-in will open the event. The documentary centers around the reopening of Kongjin elementary school in Gangseo District, western Seoul, after it closed down due to lack of students.           A total of 122 films from 33 countries were invited this year. Eleven are local documentaries.             The festival’s offline screenings will take place for judges and related insiders, with no audience in attendance.             Fifteen documentaries, including “Sound of Nomad: Koryo Arirang” are to be streamed online on the festival’s YouTube channel.             “DMZ Industry,” a workshop which supports and consults rookie filmmakers with their project films, will be streamed online to introduce 36 projects from Sept. 21 to 24. Other forums such as educating participants on the use of documentary in the Covid-19 era and a panel discussion on the future of the documentary platform in the post-Covid-19 era will also take place online.             More information about the schedule of the online events is available on the festival website (www.dmzdocs.com).             BY LEE JAE-LIM   [lee.jaelim@joongang.co.kr]   "
435,T'way will be first international carrier to return to Wuhan,"

     T’way Air aircraft. The budget carrier starts flying its Incheon-Wuhan route on Wednesday. [T'WAY AIR]               T'way will be the first international carrier to return to Wuhan when it starts its once-a-week service Wednesday to the central Chinese city.          Wuhan, which is the capital of Hubei and the source of the pandemic, has not had direct air links to the outside world for eight months.           The T'way flight leaves Incheon International Airport at 8:40 a.m. and arrives Wuhan Tianhe International Airport at 10:50 a.m. It returns at 1:55 p.m., landing at Incheon at 6:00 p.m.           A ticket on the flight costs about 400,000 won ($340).            The airline was unable to confirm whether it is the first non-Chinese carrier to return to the city, but Reuters is reporting that it is, and Wuhan airport has no other international carriers listed on its arrival boards.           Korean Air Lines had been flying the Incheon-Wuhan route four times a week before the outbreak. It halted the service starting on Jan. 23. T’way Air had earlier received permission to fly to Wuhan, but the first flight, scheduled for Jan. 21, had to be cancelled.           The Ministry of Land, Infrastructure and Transport, which manages route rights, said that many business travelers are interested in flying between the two cities.           T'way is a Korea Exchange-listed low-cost carrier. Its stock rose 5.16 percent in trading Tuesday.           BY JIN MIN-JI   [jin.minji@joongang.co.kr]               Related ArticleKorean airlines start flying to Chinese destinations againAirlines to expand international routes in July"
436,Longer prison sentences proposed for child porn convictions,"

     The Sentencing Commission, chaired by Judge Kim Young-ran, center, holds a meeting at the Supreme Court in May. The commission announced new sentencing guidelines on Tuesday for digital sex crimes that toughen jail sentences for crimes involving minors. [YONHAP]               Convictions for producing child pornography could soon carry maximum prison sentences of nearly three decades under a proposal for new sentencing guidelines announced by the Supreme Court on Tuesday.             The toughened guidelines created by the Sentencing Commission, headed by former anticorruption czar Kim Young-ran, are the judiciary’s answer to a growing number of digital sex crimes in Korea — including the recent “Nth room” case. The commission operates under the purview of the Supreme Court.           Under the proposed rules, courts can sentence those convicted of producing sexually explicit material depicting minors more than two times to a maximum prison sentence of 29 years and three months.             That's more than double the length of the 13-year maximum sentence courts are currently permitted to dole out for such crimes.             Those who profit off the sale of such content more than twice would warrant a maximum prison sentence of 27 years, while those convicted of distribution or soliciting minors to participate in the creation of such material may receive up to 18 years in prison.             The guidelines further specified sentencing factors that could increase or decrease the length of a prison sentence depending on the seriousness of the crime, recurrence and the behavior of the convict.             The maximum sentences outlined are to be reserved for the most harmful crimes, including cases in which a victim takes his or her life or is forced to end schooling.             By contrast, the commission also opened up the possibility of reduced sentencing for convicts who worked to mitigate the effects of their crimes, like deleting sexual material before it is distributed.             Sentences were also toughened for digital sex crimes not necessarily involving minors.             Those convicted of filming or distributing sexually explicit material through hidden cameras were liable to be sentenced to up to six years and nine months in prison, while criminals who created or spread digitally manipulated sexual content through so-called “deepfake” technology may also receive up to five years and seven months prison time.             If such material is made or distributed for profit, sentencing can be increased to up to nine years under the guidelines.             The Sentencing Commission is set to receive advice on the new guidelines from judges and experts until October, before they will be ratified during a final meeting of the commission in December.           The new guidelines follow a series of official measures implemented by legislators and law enforcement in Korea to address widespread public concerns that those convicted of digital sex crimes are punished lightly.           The extent of the country's illegal pornography trade captured national interest after police busted an immense online sex trafficking ring that used the messenger app Telegram, known as “Nth rooms.”           Suspects in the case — many allegedly led by 24-year-old Cho Ju-bin — are believed to have run a cartel that blackmailed what could be over a hundred victims into providing sexually explicit and degrading photographs and videos of themselves. The materials were then sold to members on chat rooms through the Telegram messaging app in exchange for cryptocurrency.           Many of the victims were discovered to be minors specifically targeted by the suspects due to their vulnerability to extortion, prosecutors said.            The state prosecution service in April said it was strengthening sentencing recommendations for suspects involved in these digital sex crimes, while the National Assembly passed a bill in May aimed at clamping down on such illicit content.             BY SHIM KYU-SEOK   [shim.kyuseok@joongang.co.kr]   "
437,Two members of boy band Supernova charged with gambling overseas ,"

     Kim Yoon-hak, left, and Kim Sung-je of boy band Supernova. [SCREEN CAPTURE]               Police have charged two members of boy band Supernova with gambling overseas and are continuing an investigation into whether any other celebrities were involved, the Incheon Metropolitan Police Agency said on Tuesday.           According to police, members Jung Yoon-hak and Kim Sung-je — who are known as Yoonhak and Sungje — were booked by police on Monday for illegal overseas gambling in the Philippines between 2016 and 2018.           Jung and Kim are said to have played baccarat, betting between 7 million won ($5,900) and 50 million won each round.           One of the pair, who police did not identify, is said to have also gambled on an illegal website run by a Korean.           The two testified that they did not visit the Philippines to gamble, but ""accidentally stumbled upon it"" while they were there, according to police.           The group's agency SV Entertainment apologized on Tuesday following the news, saying they were ""deeply regretful"" of the members' imprudent actions.            ""We are deeply sorry to the fans who have cared for them to concern them with bad news,"" the agency said.            ""We are deeply regretful of disappointing the fans and related personnel,"" the members said through the agency.           ""We have realized the importance of acting with responsibility as public figures.""            Supernova debuted in 2007 and has been active in Japan since 2018.           Kim, who is also the leader of the group, tested positive for the coronavirus earlier this year in April, after coming in contact with a hostess working at a bar.           He explained that although it was true that he came in contact with the hostess, he did not meet her at a bar.           BY YOON SO-YEON   [yoon.soyeon@joongang.co.kr]   "
438,Indie band Hyukoh to play three concerts next month ,"

     Hyukoh's concert held in February this year. [DOOROO DOOROO ENTERTAINMENT]               Indie band Hyukoh will hold a concert next month titled ""How to find true love and happiness: Through love.""            Tickets for the concert will go on sale on Thursday at 8 p.m.           According to the band's agency Dooroo Dooroo Entertainment, the band will perform three times at the iMarket Hall at Hannam-dong's Blue Square performance hall in central Seoul from Oct. 16 to 18.            The title of the concert is a mix of the band's two albums: ""24: How to find love and happiness"" released in May 2018 and ""Through love"" released in January this year.            The poster for the concert released on Tuesday embodied the band's uniqueness.              Concert poster for band Hyukoh's concert. [DOOROO DOOROO ENTERTAINMENT]               ""The poster of the concert contains the English lyrics of 44 songs that Hyukoh has released so far,"" the agency said.            ""We have contained the seven years of Hyukoh by dismantling the words of the lyrics, then rearranging them. The poster is far from the ordinary format, but we hope that it comes across as more meaningful to the fans of Hyukoh.""           Hyukoh last performed in February this year in Seoul to kick off its world tour, but it was halted due to the outbreak of Covid-19.           The concert will be held under immense care, the agency said.            Hyukoh debuted in 2014 and rose to stardom as one of the most popular bands on the indie music scene.            Its music was used as the background for the Louis Vuitton Men's Spring-Summer 2021 Show in Shanghai last month, as well as Burberry's virtual music concert held this year.            BY YOON SO-YEON   [yoon.soyeon@joongang.co.kr]   "
439,'Cats' the musical is back and with a plan to help strays ,"

     Photograph of stray cats taken by Lee Yong-han. [S&CO]               “Cats” is back in Korea to celebrate its 40th anniversary.             And this time, they're not only here to show off their feline ways, but also to do good for the other cats, especially those living on the streets.             Together with KARA, a non-profit animal rights group, the production team of “Cats” decided to launch an online campaign, which attempts to shed light on stray cats by producing video clips that feature the animals and photos taken by photographer Lee Yong-han.             Titled “Love on the Streets,” the campaign aims to show that “Stray cats are also our lovable neighbors that deserve to be loved and respected. With a little more attention, we can coexist harmoniously.”             The videos and photographs can be viewed via the musical’s official Instagram account (@musicofthenightkr) and KARA’s (@animal_kara).             A special anniversary poster featuring the ""Jellicle cats"" has also been created and is being sold through cat accessory shops Popart in Mapo District and Allergy in Yongsan District for 12,000 won ($10). All proceeds made by the poster will be donated to KARA to be used for the stray cats here, mostly for “rescuing cats exposed to danger, and providing food,” according to the musical's production company S&CO.                Special anniversary poster of ""Cats.""  [S&CO]               Composed by the legendary Andrew Lloyd Webber based on T.S. Elliot’s 1939 poetry collection titled “Old Possum’s Book of Practical Cats,” the musical tells the story of a tribe of cats known as the Jellicles.             This world tour version of “Cats” last visited Korea four years ago, staging sell-out shows for about two months. Despite the coronavirus pandemic, the musical managed to arrive in Seoul and open at the Charlotte Theater in southern Seoul on Sept. 9. To abide by the social distancing guidelines, S&CO is only selling seats for half the theater so that audience members can sit with space between them.             For the role of Grizabella, who sings the famous song “Memory,” Joanna Ampil has been cast, while the mischievous Rum Tum Tugger role has been taken by Dan Partridge. The musical runs through Nov. 8. It starts at 8 p.m. on weekdays and at 2 p.m. and 7 p.m. on weekends and public holidays. There are no shows on Mondays. Tickets range from 60,000 won to 160,000 won.             BY YIM SEUNG-HYE   [sharon@joongang.co.kr]                           "
440,Korean National Ballet's choreographer selected for Benois de la Danse ,"

     ""Into the Pulse,"" choreographed by Kang Hyo-hyung of the Korean National Ballet. [KOREAN NATIONAL BALLET]               The Korean National Ballet's choreographer and soloist Kang Hyo-hyung's work ""Into the Pulse"" has been selected to be included in the line-up of an online project by Benois de la Danse, known as the Oscars of the dance world.            It is the first choreography Kang created in 2016 and was staged at the Next Generation event by the Stuttgart Ballet the following year.            The online project kicked off in July to showcase about 25 choreographed works. Kang's ""Into the Pulse"" will be played at 7 p.m. on Friday in Moscow, which is Saturday 1 a.m. in Korea, through Benois de la Danse's official YouTube channel, as well as the Korean National Ballet's.            This annual prestigious international ballet prize awards prominent choreography created during the previous year and presents gala performances by the award's nominees.            However, this year's event was canceled due to the Covid-19 pandemic. Instead the event was replaced by an online project that streamed gala performances at the Bolshoi Theatre of Russia from 2015 to 2019.             BY YIM SEUNG-HYE   [sharon@joongang.co.kr]          "
441,Actor Oh In-hye dies at 36  ,"

     The funeral service for actor Oh In-hye is being held in Inha University Hospital in Incheon on Tuesday. [YONHAP]                 Actor Oh In-hye died on Monday while receiving treatment at a hospital.             The cause of her death was not disclosed to the public. Police are said to be investigating the possibility that the actor took her own life.            The 36-year-old was found unconscious in her home on Monday and was immediately transported to the hospital.                    The news comes as a shock as she was recently active on her Instagram and YouTube channel, uploading a video on the latter on Sunday.             Her most recent official appearance was in August on the famous YouTube channel “Geunhwang Olympics” (translated) where forgotten celebrities or people who created a buzz in the media appear as guests to talk about what they’ve been up to.            During the appearance she spoke about the 2011 Busan International Film Festival (BIFF) where she made headlines due to a revealing dress she wore on the red carpet.             “I thought [if I wore this dress] people would think of me as this confident and stylish person,” the actor said. However following the event, she saw a considerable narrowing in the range of roles she was offered. “Only roles where I had to expose [skin] or play a femme fatale were offered [to me].”           Oh debuted in the 2011 film “Sin of a Family” and featured in films such as “Red Vacance Black Wedding” (2011) and “A Journey with Korean Masters” (2013). She signed a contract with Redline Entertainment in 2017 but had been working independently after it ended.             Her funeral service will be held at Inha University Hospital in Incheon. She is to be buried on Wednesday.             BY LEE JAE-LIM   [lee.jaelim@joongang.co.kr]         If you or someone you know are feeling emotionally distressed or struggling with thoughts of suicide, LifeLine Korea can be contacted at 1588-9191. The Seoul Global Center offers English-language counseling. Contact 02-2075-4180 to arrange a session. Other international helplines can be found at www.befrienders.org   "
442,Blackpink debuts at No. 8 on Billboard’s newly launched ‘Global 200’,"

     Girl group Blackpink [YG ENTERTAINMENT]               Girl group Blackpink debuted at No. 8 on global music chart Billboard's newly-launched category ""Billboard Global 200"" on Tuesday.           Billboard added two new categories with the latest chart update on Tuesday — Billboard Global 200 and Billboard Global Excl. U.S.           The new charts will take the number of streams and downloads from around 200 regions in the world and list them according to their popularity. The Billboard Global Excl. U.S. chart is the Global 200 chart without numbers from the United States.           Blackpink's latest collaboration with American pop star Selena Gomez landed at No. 8 on the Global 200 and No. 6 on Global 200 Excl. U.S. charts, based on data gathered from Sept. 4 to 10.           ""Ice Cream"" is continuing its winning streak since it was dropped on Aug. 28, topping YouTube's global music video chart for the second week running. It sits at No. 2 on the popular songs chart as well as No. 3 on the global artist chart.           Blackpink has had a record-breaking year so far with its single ""How You Like That"" followed by ""Ice Cream"" and is expected to reach new heights with its upcoming first full-length album ""The Album"" to drop on Oct. 2.           K-pop's first Netflix original documentary program ""Blackpink: Light Up the Sky"" will also be revealed on Oct. 14.           BY YOON SO-YEON   [yoon.soyeon@joongang.co.kr]   "
